"collectDate","plotID","domainID","siteID","nlcdClass","elevation","lat","lon","geodeticDatum","totalTraps","total","BLBR","BLCA","BLHY","BLSP","CHHI","CRPA","CRSP","DIVI","GLSA","GLVO","MIOC","MIPE","MIPI","MRSP","MUER","MUFR","MUMU","MUNI","MYGA","NAIN","NEFL","OCNU","ORPA","OTHE","PEGO","PELE","PEMA","PEME","PEPO","PESP","RARA","REHU","REME","ROSP","SCCA","SIHI","SOCI","SOFU","SOLO","SPTR","SRSP","SUSP","SYFL","TAHU","TAST","ZAHU"
2014-05-28,"BART_001","D01","BART","mixedForest",463.7,44.046877,-71.305115,"WGS84",100,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-05-28,"BART_007","D01","BART","mixedForest",382.7,44.051112,-71.298377,"WGS84",100,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-05-28,"BART_012","D01","BART","deciduousForest",579.9,44.047478,-71.315451,"WGS84",100,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2014-05-28,"BART_015","D01","BART","mixedForest",422.8,44.042898,-71.275059,"WGS84",100,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-05-29,"BART_001","D01","BART","mixedForest",463.7,44.046877,-71.305115,"WGS84",100,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-05-29,"BART_007","D01","BART","mixedForest",382.7,44.051112,-71.298377,"WGS84",100,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-05-29,"BART_012","D01","BART","deciduousForest",579.9,44.047478,-71.315451,"WGS84",100,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-05-29,"BART_015","D01","BART","mixedForest",422.8,44.042898,-71.275059,"WGS84",100,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-05-30,"BART_001","D01","BART","mixedForest",463.7,44.046877,-71.305115,"WGS84",100,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-05-30,"BART_007","D01","BART","mixedForest",382.7,44.051112,-71.298377,"WGS84",102,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-05-30,"BART_015","D01","BART","mixedForest",422.8,44.042898,-71.275059,"WGS84",300,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-06-28,"BART_001","D01","BART","mixedForest",463.7,44.046877,-71.305115,"WGS84",100,30,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2014-06-28,"BART_012","D01","BART","deciduousForest",579.9,44.047478,-71.315451,"WGS84",301,52,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,6,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
2014-06-28,"BART_062","D01","BART","deciduousForest",447.2,44.05735,-71.308646,"WGS84",101,24,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-06-29,"BART_001","D01","BART","mixedForest",463.7,44.046877,-71.305115,"WGS84",100,50,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,11,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-06-29,"BART_012","D01","BART","deciduousForest",579.9,44.047478,-71.315451,"WGS84",200,88,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,5,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
2014-06-29,"BART_062","D01","BART","deciduousForest",447.2,44.05735,-71.308646,"WGS84",100,40,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0
2014-06-30,"BART_001","D01","BART","mixedForest",463.7,44.046877,-71.305115,"WGS84",101,48,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,5,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-06-30,"BART_012","D01","BART","deciduousForest",579.9,44.047478,-71.315451,"WGS84",112,86,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,14,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0
2014-06-30,"BART_062","D01","BART","deciduousForest",447.2,44.05735,-71.308646,"WGS84",100,66,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
2014-07-01,"BART_007","D01","BART","mixedForest",382.7,44.051112,-71.298377,"WGS84",101,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-07-01,"BART_015","D01","BART","mixedForest",422.8,44.042898,-71.275059,"WGS84",100,38,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-07-02,"BART_007","D01","BART","mixedForest",382.7,44.051112,-71.298377,"WGS84",100,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,15,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-07-02,"BART_015","D01","BART","mixedForest",422.8,44.042898,-71.275059,"WGS84",101,66,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,9,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
