"collectDate","plotID","adultCount","nymphCount","larvaCount","totalCount","totalSampledArea","targetTaxaPresent","domainID","siteID","nlcdClass","elevation","lat","lon","geodeticDatum"
2014-05-15,"BART_015",0,0,0,0,160,"N","D01","BART","mixedForest",455,44.042149,-71.271603,"WGS84"
2014-05-15,"BART_002",0,0,0,0,180,"N","D01","BART","deciduousForest",502.6,44.035231,-71.274674,"WGS84"
2014-06-02,"BART_011",1,0,0,1,160,"Y","D01","BART","mixedForest",399.5,44.048783,-71.295353,"WGS84"
2014-06-02,"BART_015",0,0,0,0,165,"N","D01","BART","mixedForest",455,44.042149,-71.271603,"WGS84"
2014-06-03,"BART_010",0,0,0,0,168,"N","D01","BART","deciduousForest",413,44.0511,-71.267766,"WGS84"
2014-06-03,"BART_002",0,0,0,0,170,"N","D01","BART","deciduousForest",502.6,44.035231,-71.274674,"WGS84"
2014-06-03,"BART_019",0,0,0,0,172,"N","D01","BART","mixedForest",231.8,44.06935,-71.288001,"WGS84"
2014-07-14,"BART_002",0,0,0,0,160,"N","D01","BART","deciduousForest",502.6,44.035231,-71.274674,"WGS84"
2014-07-14,"BART_010",0,0,0,0,162,"N","D01","BART","deciduousForest",413,44.0511,-71.267766,"WGS84"
2014-07-14,"BART_011",0,0,0,0,167,"N","D01","BART","mixedForest",399.5,44.048783,-71.295353,"WGS84"
2014-07-14,"BART_019",0,0,0,0,160,"N","D01","BART","mixedForest",231.8,44.06935,-71.288001,"WGS84"
2014-07-17,"BART_015",0,0,0,0,160,"N","D01","BART","mixedForest",455,44.042149,-71.271603,"WGS84"
2014-08-06,"BART_019",0,0,0,0,160,"N","D01","BART","mixedForest",231.8,44.06935,-71.288001,"WGS84"
2014-08-06,"BART_015",0,0,0,0,163,"N","D01","BART","mixedForest",455,44.042149,-71.271603,"WGS84"
2014-08-06,"BART_002",0,0,0,0,161,"N","D01","BART","deciduousForest",502.6,44.035231,-71.274674,"WGS84"
2014-08-06,"BART_010",0,0,0,0,163,"N","D01","BART","deciduousForest",413,44.0511,-71.267766,"WGS84"
2014-08-07,"BART_011",0,0,0,0,165,"N","D01","BART","mixedForest",399.5,44.048783,-71.295353,"WGS84"
2014-08-25,"BART_002",0,0,0,0,165,"N","D01","BART","deciduousForest",502.6,44.035231,-71.274674,"WGS84"
2014-08-25,"BART_010",0,0,0,0,162,"N","D01","BART","deciduousForest",413,44.0511,-71.267766,"WGS84"
2014-08-26,"BART_019",0,0,0,0,163,"N","D01","BART","mixedForest",231.8,44.06935,-71.288001,"WGS84"
2014-08-27,"BART_011",0,0,0,0,163,"N","D01","BART","mixedForest",399.5,44.048783,-71.295353,"WGS84"
2014-08-27,"BART_015",0,0,0,0,160,"N","D01","BART","mixedForest",455,44.042149,-71.271603,"WGS84"
2014-09-23,"BART_019",0,0,0,0,163,"N","D01","BART","mixedForest",231.8,44.06935,-71.288001,"WGS84"
